,Compentency1,Compentency2,Similarity
179,Partnership & Business Development,management of financial resources,0.7638198733329773
180,Partnership & Business Development,management of material resources,0.7773503661155701
181,Partnership & Business Development,management of personnel resources,0.7830266952514648
182,Partnership & Business Development,knowledge,0.7629551291465759
183,Partnership & Business Development,business and management,0.7617509365081787
184,Partnership & Business Development,administration and management,0.7789185643196106
185,Partnership & Business Development,clerical,0.7581622004508972
186,Partnership & Business Development,economics and accounting,0.756873369216919
187,Partnership & Business Development,sales and marketing,0.7678952813148499
188,Partnership & Business Development,customer and personal service,0.7619462013244629
189,Partnership & Business Development,personnel and human resources,0.7741550207138062
190,Partnership & Business Development,manufacturing and production,0.7600386738777161
191,Partnership & Business Development,production and processing,0.7557766437530518
192,Partnership & Business Development,food production,0.7650336623191833
193,Partnership & Business Development,engineering and technology,0.7589909434318542
194,Partnership & Business Development,computers and electronics,0.7534374594688416
195,Partnership & Business Development,engineering and technology,0.7501413822174072
196,Partnership & Business Development,design,0.7532647252082825
197,Partnership & Business Development,building and construction,0.7802372574806213
198,Partnership & Business Development,mechanical,0.7538073062896729
199,Partnership & Business Development,mathematics and science,0.7805564403533936
200,Partnership & Business Development,mathematics,0.762014627456665
201,Partnership & Business Development,physics,0.7615764737129211
202,Partnership & Business Development,chemistry,0.7543360590934753
203,Partnership & Business Development,biology,0.7645552158355713
204,Partnership & Business Development,psychology,0.7670354843139648
205,Partnership & Business Development,sociology and anthropology,0.7651054859161377
206,Partnership & Business Development,geography,0.761191189289093
207,Partnership & Business Development,health services,0.756631076335907
208,Partnership & Business Development,medicine and dentistry,0.7647860050201416
209,Partnership & Business Development,therapy and counseling,0.7991484999656677
210,Partnership & Business Development,education and training,0.7640650272369385
211,Partnership & Business Development,arts and humanities,0.7705245018005371
212,Partnership & Business Development,english language,0.7545724511146545
213,Partnership & Business Development,foreign language,0.7563620805740356
214,Partnership & Business Development,fine arts,0.7529945373535156
215,Partnership & Business Development,history and archeology,0.7519786357879639
216,Partnership & Business Development,philosophy and theology,0.7722493410110474
217,Partnership & Business Development,law and public safety,0.7518052458763123
218,Partnership & Business Development,public safety and security,0.7835408449172974
219,Partnership & Business Development,law and government,0.7565432786941528
220,Partnership & Business Development,communications,0.7670240998268127
221,Partnership & Business Development,telecommunications,0.8266786932945251
222,Partnership & Business Development,communications and media,0.7581732273101807
223,Partnership & Business Development,transportation,0.7558916211128235
224,Partnership & Business Development,education,0.7519693970680237
225,Partnership & Business Development,required level of education,0.753326416015625
226,Partnership & Business Development,instructional program required,0.7696669697761536
227,Partnership & Business Development,education level in specific subjects,0.754695475101471
228,Partnership & Business Development,technical vocational,0.7638324499130249
229,Partnership & Business Development,business vocational,0.7744995355606079
230,Partnership & Business Development,english/language arts,0.7902281880378723
231,Partnership & Business Development,oral communication,0.7526610493659973
232,Partnership & Business Development,languages,0.7955690622329712
233,Partnership & Business Development,basic math,0.7658388614654541
234,Partnership & Business Development,advanced math,0.7545823454856873
235,Partnership & Business Development,physical science,0.7571870684623718
236,Partnership & Business Development,computer science,0.8234514594078064
237,Partnership & Business Development,biological science,0.76321941614151
238,Partnership & Business Development,applied science,0.7514120936393738
239,Partnership & Business Development,social science,0.7668526768684387
240,Partnership & Business Development,arts,0.8114559650421143
241,Partnership & Business Development,humanities,0.7798399925231934
242,Partnership & Business Development,physical education,0.7643544673919678
243,Partnership & Business Development,job-related professional certification,0.796753466129303
244,Partnership & Business Development,job-related professional certification,0.7961350679397583
245,Partnership & Business Development,experience requirements,0.7548894882202148
246,Partnership & Business Development,experience and training,0.7818797826766968
247,Partnership & Business Development,related work experience,0.8163526654243469
248,Partnership & Business Development,on-site or in-plant training,0.7925300598144531
249,Partnership & Business Development,on-the-job training,0.7569300532341003
250,Partnership & Business Development,apprenticeship,0.7521900534629822
251,Partnership & Business Development,apprenticeship,0.7975068688392639
252,Partnership & Business Development,basic skills - entry requirement,0.7940219640731812
253,Partnership & Business Development,content - entry requirement,0.7505428194999695
254,Partnership & Business Development,reading comprehension - entry requirement,0.7693604826927185
255,Partnership & Business Development,active listening - entry requirement,0.7735766768455505
256,Partnership & Business Development,writing - entry requirement,0.7882604002952576
257,Partnership & Business Development,speaking - entry requirement,0.7902473211288452
258,Partnership & Business Development,mathematics - entry requirement,0.7784250974655151
259,Partnership & Business Development,science - entry requirement,0.7605400085449219
260,Partnership & Business Development,process - entry requirement,0.7504057288169861
261,Partnership & Business Development,critical thinking - entry requirement,0.843794584274292
262,Partnership & Business Development,active learning - entry requirement,0.7672508955001831
263,Partnership & Business Development,learning strategies - entry requirement,0.7855349183082581
264,Partnership & Business Development,monitoring - entry requirement,0.7559540867805481
265,Partnership & Business Development,cross-functional skills - entry requirement,0.7714341878890991
266,Partnership & Business Development,social skills - entry requirement,0.7511585354804993
267,Partnership & Business Development,social perceptiveness - entry requirement,0.7509492635726929
268,Partnership & Business Development,coordination - entry requirement,0.7966403961181641
269,Partnership & Business Development,persuasion - entry requirement,0.7757449746131897
270,Partnership & Business Development,negotiation - entry requirement,0.7553364038467407
271,Partnership & Business Development,instructing - entry requirement,0.7731896042823792
272,Partnership & Business Development,service orientation - entry requirement,0.7588274478912354
273,Partnership & Business Development,complex problem solving skills - entry requirement,0.7722617983818054
274,Partnership & Business Development,problem identification - entry requirement,0.7851369380950928
275,Partnership & Business Development,information gathering - entry requirement,0.7657359838485718
276,Partnership & Business Development,information organization - entry requirement,0.7642889022827148
277,Partnership & Business Development,synthesis/reorganization - entry requirement,0.7555521130561829
278,Partnership & Business Development,idea generation - entry requirement,0.7633976936340332
279,Partnership & Business Development,idea evaluation - entry requirement,0.786896288394928
280,Partnership & Business Development,implementation planning - entry requirement,0.756578266620636
281,Partnership & Business Development,solution appraisal - entry requirement,0.7512718439102173
282,Partnership & Business Development,technical skills - entry requirement,0.7924014329910278
283,Partnership & Business Development,operations analysis - entry requirement,0.759300172328949
284,Partnership & Business Development,technology design - entry requirement,0.8006051778793335
285,Partnership & Business Development,equipment selection - entry requirement,0.7675741910934448
286,Partnership & Business Development,installation - entry requirement,0.7606961131095886
287,Partnership & Business Development,programming - entry requirement,0.7584903836250305
288,Partnership & Business Development,testing - entry requirement,0.7572320699691772
289,Partnership & Business Development,operation monitoring - entry requirement,0.7729695439338684
290,Partnership & Business Development,operation and control - entry requirement,0.7514297366142273
291,Partnership & Business Development,product inspection - entry requirement,0.808287501335144
292,Partnership & Business Development,equipment maintenance - entry requirement,0.7828253507614136
293,Partnership & Business Development,troubleshooting - entry requirement,0.7535051107406616
294,Partnership & Business Development,repairing - entry requirement,0.7501747608184814
295,Partnership & Business Development,systems skills - entry requirement,0.756197452545166
296,Partnership & Business Development,visioning - entry requirement,0.8068800568580627
297,Partnership & Business Development,systems perception - entry requirement,0.8155338168144226
298,Partnership & Business Development,identifying downstream consequences - entry requirement,0.7621873021125793
299,Partnership & Business Development,identification of key causes - entry requirement,0.7613128423690796
300,Partnership & Business Development,judgment and decision making - entry requirement,0.8100133538246155
301,Partnership & Business Development,system evaluation - entry requirement,0.8060904145240784
302,Partnership & Business Development,resource management skills - entry requirement,0.7703375220298767
303,Partnership & Business Development,time management - entry requirement,0.7604218125343323
304,Partnership & Business Development,management of financial resources - entry requirement,0.7561770081520081
305,Partnership & Business Development,management of material resources - entry requirement,0.790453314781189
306,Partnership & Business Development,management of personnel resources - entry requirement,0.8063722848892212
307,Partnership & Business Development,licensing,0.7962039113044739
308,Partnership & Business Development,"license, certificate, or registration required",0.754466712474823
309,Partnership & Business Development,specific license or certificate required,0.7507636547088623
310,Partnership & Business Development,post-secondary degree,0.7721371650695801
311,Partnership & Business Development,graduate degree,0.785616934299469
312,Partnership & Business Development,on-the-job training,0.771989643573761
313,Partnership & Business Development,examination,0.763401985168457
314,Partnership & Business Development,character references,0.7521024942398071
315,Partnership & Business Development,additional education and training,0.8385828137397766
316,Partnership & Business Development,organization and agency requirements,0.8278424143791199
317,Partnership & Business Development,legal requirement,0.7589141130447388
318,Partnership & Business Development,employer requirement,0.7630012035369873
319,Partnership & Business Development,"union, guild, or professional association",0.7604354619979858
320,Partnership & Business Development,occupational requirements,0.751177966594696
321,Partnership & Business Development,generalized work activities,0.7734219431877136
322,Partnership & Business Development,information input,0.7626238465309143
323,Partnership & Business Development,looking for and receiving job-related information,0.7914608120918274
324,Partnership & Business Development,getting information,0.7806035280227661
325,Partnership & Business Development,"monitor processes, materials, or surroundings",0.7754433155059814
326,Partnership & Business Development,identify and evaluating job-relevant information,0.7590134143829346
327,Partnership & Business Development,"identifying objects, actions, and events",0.7584658861160278
328,Partnership & Business Development,"inspecting equipment, structures, or material",0.7577365636825562
329,Partnership & Business Development,"estimating the quantifiable characteristics of products, events, or information",0.7518606781959534
330,Partnership & Business Development,mental processes,0.7590523958206177
331,Partnership & Business Development,information and data processing,0.8056389689445496
332,Partnership & Business Development,"judging the qualities of things, services, or people",0.7588648200035095
333,Partnership & Business Development,processing information,0.7525386214256287
334,Partnership & Business Development,evaluating information to determine compliance with standards,0.7601273059844971
335,Partnership & Business Development,analyzing data or information,0.7721425294876099
336,Partnership & Business Development,reasoning and decision making,0.7988593578338623
337,Partnership & Business Development,making decisions and solving problems,0.7541581392288208
338,Partnership & Business Development,thinking creatively,0.7580190896987915
339,Partnership & Business Development,updating and using relevant knowledge,0.7597708702087402
340,Partnership & Business Development,developing objectives and strategies,0.7611180543899536
341,Partnership & Business Development,scheduling work and activities,0.7975174784660339
342,Partnership & Business Development,"organizing, planning, and prioritizing work",0.7652186155319214
343,Partnership & Business Development,work output,0.7980396747589111
344,Partnership & Business Development,performing physical and manual work activities,0.8462790250778198
345,Partnership & Business Development,performing general physical activities,0.7709366679191589
346,Partnership & Business Development,handling and moving objects,0.7544164061546326
347,Partnership & Business Development,controlling machines and processes,0.8223447203636169
348,Partnership & Business Development,"operating vehicles, mechanized devices, or equipment",0.7523202300071716
349,Partnership & Business Development,performing complex and technical activities,0.7586341500282288
350,Partnership & Business Development,interacting with computers,0.7656222581863403
351,Partnership & Business Development,"drafting, laying out, and specifying technical devices, parts, and equipment",0.7605249881744385
352,Partnership & Business Development,repairing and maintaining mechanical equipment,0.7575305700302124
353,Partnership & Business Development,repairing and maintaining electronic equipment,0.7683194279670715
354,Partnership & Business Development,documenting/recording information,0.7543854713439941
355,Partnership & Business Development,interacting with others,0.7525252103805542
356,Partnership & Business Development,communicating and interacting,0.7848926782608032
357,Partnership & Business Development,interpreting the meaning of information for others,0.7671265602111816
358,Partnership & Business Development,"communicating with supervisors, peers, or subordinates",0.7600898146629333
359,Partnership & Business Development,communicating with persons outside organization,0.7597470879554749
360,Partnership & Business Development,establishing and maintaining interpersonal relationships,0.7854964733123779
361,Partnership & Business Development,assisting and caring for others,0.7638927102088928
362,Partnership & Business Development,selling or influencing others,0.7695518136024475
363,Partnership & Business Development,resolving conflicts and negotiating with others,0.7849493026733398
364,Partnership & Business Development,performing for or working directly with the public,0.7743631601333618
365,Partnership & Business Development,"coordinating, developing, managing, and advising",0.8098879456520081
366,Partnership & Business Development,coordinating the work and activities of others,0.7536717057228088
367,Partnership & Business Development,developing and building teams,0.7921738624572754
368,Partnership & Business Development,training and teaching others,0.7642266154289246
369,Partnership & Business Development,"guiding, directing, and motivating subordinates",0.7514705657958984
370,Partnership & Business Development,coaching and developing others,0.7574324607849121
371,Partnership & Business Development,provide consultation and advice to others,0.7607332468032837
372,Partnership & Business Development,administering,0.813073992729187
373,Partnership & Business Development,performing administrative activities,0.7706218361854553
374,Partnership & Business Development,staffing organizational units,0.7509399652481079
375,Partnership & Business Development,monitoring and controlling resources,0.7855043411254883
376,Partnership & Business Development,organizational context,0.8186784386634827
377,Partnership & Business Development,structural characteristics,0.7698630690574646
378,Partnership & Business Development,organizational structure,0.8187596201896667
379,Partnership & Business Development,decision making system,0.7526811957359314
380,Partnership & Business Development,decentralization and employee empowerment,0.7554392218589783
381,Partnership & Business Development,have control over unit or department,0.7833845019340515
382,Partnership & Business Development,have influence over decisions,0.7623400688171387
383,Partnership & Business Development,monitor data on quality/costs/waste/etc.,0.7847171425819397
384,Partnership & Business Development,determine work flow or order of tasks,0.7614346742630005
385,Partnership & Business Development,invest in new equipment and technology,0.8050875663757324
386,Partnership & Business Development,"develop new products, services, and procedures",0.7717198133468628
387,Partnership & Business Development,individual versus team structure,0.7702748775482178
388,Partnership & Business Development,percent of time in intact team,0.7839422225952148
389,Partnership & Business Development,job characteristics,0.7786428928375244
390,Partnership & Business Development,skill variety,0.75784832239151
391,Partnership & Business Development,job variety,0.769136369228363
392,Partnership & Business Development,complex or high level skills required,0.7541099190711975
393,Partnership & Business Development,variety of tasks required,0.7860329747200012
394,Partnership & Business Development,task significance,0.7558736801147461
395,Partnership & Business Development,significance or importance of job,0.7841782569885254
396,Partnership & Business Development,job quality affects lots of people,0.7978826761245728
397,Partnership & Business Development,job itself is very significant,0.7934191226959229
398,Partnership & Business Development,task identity,0.758338212966919
399,Partnership & Business Development,job involves whole piece of work,0.7592136263847351
400,Partnership & Business Development,can do entire piece of work,0.7738043665885925
401,Partnership & Business Development,can finish what you start,0.7628339529037476
402,Partnership & Business Development,autonomy,0.7595575451850891
403,Partnership & Business Development,autonomy and freedom in job,0.7805233001708984
404,Partnership & Business Development,chance for initiative and judgment,0.7899942398071289
405,Partnership & Business Development,opportunity for independence and freedom,0.7940614819526672
406,Partnership & Business Development,feedback,0.75278639793396
407,Partnership & Business Development,extent of feedback from doing job itself,0.7986952662467957
408,Partnership & Business Development,doing job provides chances for feedback,0.7524572014808655
409,Partnership & Business Development,"after finishing job, know own performance",0.8363565802574158
410,Partnership & Business Development,job stability and rotation,0.7901912927627563
411,Partnership & Business Development,number of supervisors in past year,0.8211826682090759
412,Partnership & Business Development,number of work teams in past year,0.750472903251648
413,Partnership & Business Development,number of work group reorganizations in past year,0.7549881339073181
414,Partnership & Business Development,number of times nature of job changed,0.7629345059394836
415,Partnership & Business Development,job rotation practices,0.7585000991821289
416,Partnership & Business Development,human resources systems and practices,0.7627313137054443
417,Partnership & Business Development,recruitment and selection,0.7601278424263
418,Partnership & Business Development,recruitment operations,0.8466691970825195
419,Partnership & Business Development,sources of people for current job,0.7555622458457947
420,Partnership & Business Development,selection assessment methods used,0.7740069627761841
421,Partnership & Business Development,assessment methods used to select for job,0.7960104942321777
422,Partnership & Business Development,training and development,0.7954585552215576
423,Partnership & Business Development,training methods,0.8008112907409668
424,Partnership & Business Development,training methods used in company,0.7507179379463196
425,Partnership & Business Development,training topics and content,0.7600216865539551
426,Partnership & Business Development,areas of recent formal training,0.7946747541427612
427,Partnership & Business Development,extent and support of training activities,0.7602021098136902
428,Partnership & Business Development,recent technical skill training,0.7929465770721436
429,Partnership & Business Development,reward system,0.7826500535011292
430,Partnership & Business Development,basis of compensation,0.7669246792793274
431,Partnership & Business Development,compensation package components,0.7567335367202759
432,Partnership & Business Development,benefits,0.7565021514892578
433,Partnership & Business Development,benefit components,0.7954158186912537
434,Partnership & Business Development,social processes,0.8198255300521851
435,Partnership & Business Development,goals,0.7851194739341736
436,Partnership & Business Development,individual goal characteristics,0.7911321520805359
437,Partnership & Business Development,achieve most important individual goal,0.7638022303581238
438,Partnership & Business Development,how many quantitative individual goals,0.7546842694282532
439,Partnership & Business Development,goal feedback,0.7538339495658875
440,Partnership & Business Development,how many specific individual goals,0.7853032350540161
441,Partnership & Business Development,when get information on individual goals,0.842835545539856
442,Partnership & Business Development,"informal, job-relevant feedback",0.779923141002655
443,Partnership & Business Development,"meet one-on-one with supervisor on goals, training, and development",0.753964900970459
444,Partnership & Business Development,roles,0.7544977068901062
445,Partnership & Business Development,role conflict,0.7544432878494263
446,Partnership & Business Development,often receive conflicting requests,0.7554963231086731
447,Partnership & Business Development,work with groups with different focuses,0.7680425047874451
448,Partnership & Business Development,you and your supervisor agree about job,0.7544565796852112
449,Partnership & Business Development,supervisor makes conflicting requests,0.7630689740180969
450,Partnership & Business Development,role negotiability,0.7541429996490479
451,Partnership & Business Development,negotiate changes in role with supervisor,0.7737994194030762
452,Partnership & Business Development,significant input into way you do job,0.7753205299377441
453,Partnership & Business Development,role overload,0.7748732566833496
454,Partnership & Business Development,get assignments without adequate resources,0.7533034086227417
455,Partnership & Business Development,given enough time to do work,0.8311234712600708
456,Partnership & Business Development,too much for one person to do,0.7829352021217346
457,Partnership & Business Development,culture,0.759286105632782
458,Partnership & Business Development,organizational values,0.777153730392456
459,Partnership & Business Development,guiding principles of organization,0.7567245960235596
460,Partnership & Business Development,taking chances; going out on a limb,0.7595389485359192
461,Partnership & Business Development,fairness; justice,0.822574257850647
462,Partnership & Business Development,precision,0.7642503380775452
463,Partnership & Business Development,stability,0.7850484251976013
464,Partnership & Business Development,getting things done,0.7977867722511292
465,Partnership & Business Development,caring about employees,0.7961406707763672
466,Partnership & Business Development,innovation,0.7853400111198425
467,Partnership & Business Development,aggressiveness,0.7561137080192566
468,Partnership & Business Development,valuing customers,0.7919436693191528
469,Partnership & Business Development,providing high quality products,0.7518853545188904
470,Partnership & Business Development,openness and honesty,0.7668623924255371
471,Partnership & Business Development,"flexibility, adapting to change",0.7563756108283997
472,Partnership & Business Development,supervisor role,0.8424974679946899
473,Partnership & Business Development,supervisor friendly and supportive,0.810378909111023
474,Partnership & Business Development,supervisor takes active role,0.763703465461731
475,Partnership & Business Development,supervisor provides clear vision,0.759842038154602
476,Partnership & Business Development,supervisor solves problems,0.7519394755363464
477,Partnership & Business Development,work context,0.7826261520385742
478,Partnership & Business Development,interpersonal relationships,0.7595474123954773
479,Partnership & Business Development,communication,0.7656456828117371
480,Partnership & Business Development,communication methods,0.7709695100784302
481,Partnership & Business Development,public speaking,0.7601909041404724
482,Partnership & Business Development,telephone,0.7813553214073181
483,Partnership & Business Development,electronic mail,0.7547315955162048
484,Partnership & Business Development,letters and memos,0.7681410312652588
485,Partnership & Business Development,face-to-face discussions,0.7723938822746277
486,Partnership & Business Development,contact with others,0.7795625329017639
487,Partnership & Business Development,role relationships,0.7903165817260742
488,Partnership & Business Development,job interactions,0.7500637173652649
489,Partnership & Business Development,work with work group or team,0.7518699169158936
490,Partnership & Business Development,deal with external customers,0.7583979368209839
491,Partnership & Business Development,coordinate or lead others,0.7560878396034241
492,Partnership & Business Development,responsibility for others,0.7839157581329346
